year,electorate,party,all,ordinary,special
2002,Aoraki,ACT,1377,1271,106
2002,Aoraki,Alliance,337,298,39
2002,Aoraki,Christian Heritage,387,356,31
2002,Aoraki,Green Party,1613,1439,174
2002,Aoraki,Labour Party,13950,12911,1039
2002,Aoraki,Legalise Cannabis,264,238,26
2002,Aoraki,Mana Maori,11,8,3
2002,Aoraki,NMP,8,7,1
2002,Aoraki,NZ First,2758,2582,176
2002,Aoraki,National Party,7550,6870,680
2002,Aoraki,OneNZ Party,10,9,1
2002,Aoraki,Outdoor Rec. NZ,521,490,31
2002,Aoraki,Progressive Coalition,643,602,41
2002,Aoraki,United Future,1879,1748,131
2002,Auckland Central,ACT,3358,2718,640
2002,Auckland Central,Alliance,513,417,96
2002,Auckland Central,Christian Heritage,163,137,26
2002,Auckland Central,Green Party,4990,3905,1085
2002,Auckland Central,Labour Party,13929,11425,2504
2002,Auckland Central,Legalise Cannabis,164,119,45
2002,Auckland Central,Mana Maori,20,11,9
2002,Auckland Central,NMP,3,3,0
2002,Auckland Central,NZ First,1809,1524,285
2002,Auckland Central,National Party,4748,3751,997
2002,Auckland Central,OneNZ Party,15,9,6
2002,Auckland Central,Outdoor Rec. NZ,137,102,35
2002,Auckland Central,Progressive Coalition,468,415,53
2002,Auckland Central,United Future,1266,1049,217
2002,Banks Peninsula,ACT,2744,2486,258
2002,Banks Peninsula,Alliance,469,401,68
2002,Banks Peninsula,Christian Heritage,378,344,34
2002,Banks Peninsula,Green Party,3739,3217,522
2002,Banks Peninsula,Labour Party,14704,13211,1493
2002,Banks Peninsula,Legalise Cannabis,172,137,35
2002,Banks Peninsula,Mana Maori,5,2,3
2002,Banks Peninsula,NMP,2,1,1
2002,Banks Peninsula,NZ First,2340,2126,214
2002,Banks Peninsula,National Party,7892,7039,853
2002,Banks Peninsula,OneNZ Party,13,12,1
2002,Banks Peninsula,Outdoor Rec. NZ,424,361,63
2002,Banks Peninsula,Progressive Coalition,952,860,92
2002,Banks Peninsula,United Future,2717,2544,173
2002,Bay of Plenty,ACT,1458,1317,141
2002,Bay of Plenty,Alliance,162,143,19
2002,Bay of Plenty,Christian Heritage,350,301,49
2002,Bay of Plenty,Green Party,1691,1427,264
2002,Bay of Plenty,Labour Party,9457,8454,1003
2002,Bay of Plenty,Legalise Cannabis,122,102,20
2002,Bay of Plenty,Mana Maori,13,9,4
2002,Bay of Plenty,NMP,3,2,1
2002,Bay of Plenty,NZ First,6896,6305,591
2002,Bay of Plenty,National Party,7130,6377,753
2002,Bay of Plenty,OneNZ Party,15,14,1
2002,Bay of Plenty,Outdoor Rec. NZ,569,519,50
2002,Bay of Plenty,Progressive Coalition,239,219,20
2002,Bay of Plenty,United Future,2506,2276,230
2002,Christchurch Central,ACT,1845,1600,245
2002,Christchurch Central,Alliance,598,523,75
2002,Christchurch Central,Christian Heritage,430,357,73
2002,Christchurch Central,Green Party,3479,2785,694
2002,Christchurch Central,Labour Party,13853,11783,2070
2002,Christchurch Central,Legalise Cannabis,327,264,63
2002,Christchurch Central,Mana Maori,10,6,4
2002,Christchurch Central,NMP,3,3,0
2002,Christchurch Central,NZ First,2106,1849,257
2002,Christchurch Central,National Party,5338,4436,902
2002,Christchurch Central,OneNZ Party,16,11,5
2002,Christchurch Central,Outdoor Rec. NZ,280,244,36
2002,Christchurch Central,Progressive Coalition,930,799,131
2002,Christchurch Central,United Future,2118,1885,233
2002,Christchurch East,ACT,1212,1100,112
2002,Christchurch East,Alliance,466,426,40
2002,Christchurch East,Christian Heritage,441,409,32
2002,Christchurch East,Green Party,2068,1738,330
2002,Christchurch East,Labour Party,16142,14796,1346
2002,Christchurch East,Legalise Cannabis,222,185,37
2002,Christchurch East,Mana Maori,8,6,2
2002,Christchurch East,NMP,3,3,0
2002,Christchurch East,NZ First,2532,2333,199
2002,Christchurch East,National Party,4368,3957,411
2002,Christchurch East,OneNZ Party,15,12,3
2002,Christchurch East,Outdoor Rec. NZ,430,394,36
2002,Christchurch East,Progressive Coalition,1171,1083,88
2002,Christchurch East,United Future,2394,2213,181
2002,Clevedon,ACT,3578,3243,335
2002,Clevedon,Alliance,218,185,33
2002,Clevedon,Christian Heritage,426,374,52
2002,Clevedon,Green Party,1229,1033,196
2002,Clevedon,Labour Party,10739,9477,1262
2002,Clevedon,Legalise Cannabis,122,103,19
2002,Clevedon,Mana Maori,13,8,5
2002,Clevedon,NMP,6,3,3
2002,Clevedon,NZ First,4355,3948,407
2002,Clevedon,National Party,7764,6884,880
2002,Clevedon,OneNZ Party,14,13,1
