year,electorate,party,ordinary_special,before_onday,local_overseas,votes
2014,Auckland Central,ACT,ordinary,normal,local,176
2014,Auckland Central,ACT,ordinary,advanced,local,73
2014,Auckland Central,ACT,special,advanced,local,13
2014,Auckland Central,ACT,special,normal,local,46
2014,Auckland Central,ACT,special,advanced,overseas,21
2014,Auckland Central,Aotearoa Legalise Cannabis Party,ordinary,normal,local,46
2014,Auckland Central,Aotearoa Legalise Cannabis Party,ordinary,advanced,local,17
2014,Auckland Central,Aotearoa Legalise Cannabis Party,special,advanced,local,1
2014,Auckland Central,Aotearoa Legalise Cannabis Party,special,normal,local,21
2014,Auckland Central,Aotearoa Legalise Cannabis Party,special,advanced,overseas,0
2014,Auckland Central,Ban1080,ordinary,normal,local,3
2014,Auckland Central,Ban1080,ordinary,advanced,local,4
2014,Auckland Central,Ban1080,special,advanced,local,1
2014,Auckland Central,Ban1080,special,normal,local,2
2014,Auckland Central,Ban1080,special,advanced,overseas,0
2014,Auckland Central,Conservative,ordinary,normal,local,271
2014,Auckland Central,Conservative,ordinary,advanced,local,123
2014,Auckland Central,Conservative,special,advanced,local,23
2014,Auckland Central,Conservative,special,normal,local,55
2014,Auckland Central,Conservative,special,advanced,overseas,14
2014,Auckland Central,Democrats for Social Credit,ordinary,normal,local,3
2014,Auckland Central,Democrats for Social Credit,ordinary,advanced,local,0
2014,Auckland Central,Democrats for Social Credit,special,advanced,local,0
2014,Auckland Central,Democrats for Social Credit,special,normal,local,0
2014,Auckland Central,Democrats for Social Credit,special,advanced,overseas,0
2014,Auckland Central,Focus NZ,ordinary,normal,local,2
2014,Auckland Central,Focus NZ,ordinary,advanced,local,0
2014,Auckland Central,Focus NZ,special,advanced,local,0
2014,Auckland Central,Focus NZ,special,normal,local,0
2014,Auckland Central,Focus NZ,special,advanced,overseas,0
2014,Auckland Central,Green Party,ordinary,normal,local,3034
2014,Auckland Central,Green Party,ordinary,advanced,local,1560
2014,Auckland Central,Green Party,special,advanced,local,291
2014,Auckland Central,Green Party,special,normal,local,851
2014,Auckland Central,Green Party,special,advanced,overseas,506
2014,Auckland Central,Internet MANA,ordinary,normal,local,242
2014,Auckland Central,Internet MANA,ordinary,advanced,local,147
2014,Auckland Central,Internet MANA,special,advanced,local,42
2014,Auckland Central,Internet MANA,special,normal,local,88
2014,Auckland Central,Internet MANA,special,advanced,overseas,34
2014,Auckland Central,Labour Party,ordinary,normal,local,3344
2014,Auckland Central,Labour Party,ordinary,advanced,local,1405
2014,Auckland Central,Labour Party,special,advanced,local,278
2014,Auckland Central,Labour Party,special,normal,local,810
2014,Auckland Central,Labour Party,special,advanced,overseas,264
2014,Auckland Central,Maori Party,ordinary,normal,local,86
2014,Auckland Central,Maori Party,ordinary,advanced,local,33
2014,Auckland Central,Maori Party,special,advanced,local,10
