party,votes,perc,elec_seats,list_seats,tot_seats
National Party,998813,46,41,17,58
Labour Party,776556,35.8,29,16,45
New Zealand First Party,162988,7.5,0,9,9
Green Party,126995,5.9,0,7,7
ACT New Zealand,10959,0.5,1,0,1
The Opportunities Party (TOP),48018,2.2,0,0,0
Māori Party,23456,1.1,0,0,0
Aotearoa Legalise Cannabis Party,5853,0.3,0,0,0
Conservative,5318,0.2,0,0,0
MANA,2775,0.1,0,0,0
Ban1080,2440,0.1,0,0,0
New Zealand People's Party,1631,0.1,0,0,0
United Future,1471,0.1,0,0,0
NZ Outdoors Party,1333,0.1,0,0,0
Democrats for Social Credit,732,0,0,0,0
Internet Party,464,0,0,0,0
